Astronomical Low Tide,Astronomical High Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Frost/Freeze,Funnel Cloud,Freezing Fog,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind ,Hurricane (Typhoon),Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Hail,Marine High Wind,Marine Strong Wind,Marine Thunderstorm Wind,Rip Current,Seiche,Sleet,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Volcanic Ash,Waterspout,Wildfire,Winter Storm,Winter Weather,Unknown
,,,,,,,,,,,,,,,URBAN AND SMALL,,,,,,UNSEASONAL RAIN,SNOW AND COLD,,STRONG WIND GUST,,,,,,,,,,,,,,,THUNDERSTORM WIND.,,,,,,,,,SNOW/BLOWING SNOW,SUMMARY OF APRIL 27
,,,,,,,,,,,,,,,URBAN FLOOD LANDSLIDE,,,,,,WET MICOBURST,SNOW AND HEAVY SNOW,,STRONG WIND,,,,,,,,,,,,,,,THUNDERSTORM WIND/ TREE,,,,,,,,,SNOW/COLD,SUMMARY OF APRIL 3RD
,,,,,,,,,,,,,,,URBAN FLOOD,,,,,,WET MICROBURST,SNOW AND ICE STORM,,STRONG WINDS,,,,,,,,,,,,,,,THUNDERSTORM WIND/ TREES,,,,,,,,,SNOW/FREEZING RAIN,SUMMARY OF AUGUST 1
,,,,,,,,,,,,,,,URBAN FLOODING,,,,,,WET MONTH,SNOW AND ICE,,WIND ADVISORY,,,,,,,,,,,,,,,THUNDERSTORM WIND/AWNING,,,,,,,,,SNOW/HEAVY SNOW,SUMMARY OF JULY 11
,,,,,,,,,,,,,,,URBAN FLOODS,,,,,,WET WEATHER,SNOW AND SLEET,,WIND AND WAVE,,,,,,,,,,,,,,,THUNDERSTORM WIND/HAIL,,,,,,,,,SNOW/HIGH WINDS,SUMMARY OF JULY 2
,,,,,,,,,,,,,,,URBAN SMALL STREAM FLOOD,,,,,,WET YEAR,SNOW AND WIND,,WIND DAMAGE,,,,,,,,,,,,,,,THUNDERSTORM WIND/LIGHTNING,,,,,,,,,SNOW/ICE,SUMMARY OF JULY 22
,,,,,,,,,,,,,,,URBAN SMALL,,,,,,UNSEASONABLY WET,SNOW SQUALL,,WIND GUSTS,,,,,,,,,,,,,,,THUNDERSTORM WINDS      LE CEN,,,,,,,,,SNOW/RAIN,SUMMARY OF JULY 26
,,,,,,,,,,,,,,,URBAN/SMALL FLOODING,,,,,,,SNOW SQUALLS,,WIND STORM,,,,,,,,,,,,,,,THUNDERSTORM WINDS 13,,,,,,,,,SNOW/RAIN/SLEET,SUMMARY OF JULY 29
,,,,,,,,,,,,,,,URBAN/SMALL STREAM  FLOOD,,,,,,,SNOWFALL RECORD,,WIND,,,,,,,,,,,,,,,THUNDERSTORM WINDS 2,,,,,,,,,SNOW/SLEET,SUMMARY OF JULY 3
,,,,,,,,,,,,,,,URBAN/SMALL STREAM FLOOD,,,,,,,,,WIND/HAIL,,,,,,,,,,,,,,,THUNDERSTORM WINDS 50,,,,,,,,,SNOW/SLEET/FREEZING RAIN,SUMMARY OF JUNE 10
,,,,,,,,,,,,,,,URBAN/SMALL STREAM FLOODING,,,,,,,,,WINDS,,,,,,,,,,,,,,,THUNDERSTORM WINDS 52,,,,,,,,,SNOW/SLEET/RAIN,SUMMARY OF JUNE 11
,,,,,,,,,,,,,,,URBAN/SMALL STREAM,,,,,,,,,WND,,,,,,,,,,,,,,,THUNDERSTORM WINDS 53,,,,,,,,,SNOW\\COLD,SUMMARY OF JUNE 12
,,,,,,,,,,,,,,,URBAN/SMALL STRM FLDG,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS 60,,,,,,,,,UNUSUALLY LATE SNOW,SUMMARY OF JUNE 13
,,,,,,,,,,,,,,,URBAN/SMALL,,,,,,,,,,,,,,,,,,,,,,,,THUNDERSTORM WINDS 61,,,,,,,,,WET SNOW,SUMMARY OF JUNE 15
